date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1985m09,-0.64,-3.28,-3.98,-1.3,-4.73,-4.18,-4.34,-3.92,-5.35,-4.54,-1.8,1.29,1.14,1.64,0.6,1.51,0.307479774
1985m10,3.6,0.85,3.28,5.95,3.02,4.08,6.86,3.18,6.32,4.02,-1.5,0.75,0.89,-1.06,0.65,4.88,0.690724328
1985m11,8.56,9.94,7.94,0.34,8.64,7.42,7.99,9.74,4.24,6.48,0.02,-2.85,0.33,-2.32,0.61,-0.47,0.37422187
1985m12,5.45,7.18,4.51,-2.75,8.27,6.15,4.55,3.52,4.85,3.88,-0.41,-1.54,0.99,-1.8,0.65,-0.23,0.391313108
1986m01,1.79,2.15,1.61,-6.76,-0.29,-3.97,1.64,1.06,3.78,0.65,1.01,0.44,-2,-2.03,0.56,3,0.312395367
1986m02,10.82,10.9,10.22,0.8,4.97,7.4,7.81,6.13,6.57,7.13,-0.71,-0.72,1.06,-1.2,0.53,2.76,0.267078718
1986m03,8.11,7.86,6.02,0.95,-0.08,3.85,8.57,12.05,3.96,4.88,-0.66,-0.39,1.21,0.92,0.6,2.41,0.661087468
1986m04,0.42,-3.51,-1.74,0.76,3.93,2.44,0.4,0.7,-3.97,-1.31,2.84,-2.87,2.91,0.03,0.52,-0.37,0.99170823
1986m05,8.88,3.15,4.4,7.33,0.95,4.85,9.85,7.29,3.63,4.62,-1.29,-0.21,2.13,1.08,0.49,2.05,0.547745424
1986m06,6.3,-1.29,-0.03,-2.05,-3.98,5.38,3.84,5.64,5.04,1.03,-0.89,1.28,1.8,0.87,0.52,5.07,0.353917759
1986m07,-5.74,-9.09,-7.51,-5.11,-8.34,-3,-9.54,-5.35,5.15,-6.45,-3.46,4.7,-0.54,0.84,0.52,1.83,0.777589839
1986m08,2.58,7.49,6.45,16.64,6.99,6.83,1.67,4,7.9,6.07,-4.35,3.51,-1.66,3.21,0.46,-5.28,0.03840843
1986m09,-10.84,-8.15,-6.54,-0.88,-7.09,-9.42,-8.44,-12.59,-9.09,-8.6,2.05,3.22,-0.08,3.71,0.45,-5.79,0.730035807
